what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1214693857779
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214693875100
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1214693884120
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214693886001
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1214693889358
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1214693894781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1214693896571
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1214693967338
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214694018515
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694019190
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694019232
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214694025497
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694025741
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694056435
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694056435
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214694059195
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214694059423
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214814866057
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214814868754
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.buildAutomatically,1214840663502
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214840666386
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214840668521
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.cleanAction,1214840668634
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214840676973
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214840678933
